,장르,제목,좋아요,별점
1162,스토리,마이데이,"4,912",9.69
1163,스토리,솔의 일기,"1,048",9.81
1164,스토리,용사 성장 프로젝트,555,9.66
1165,스토리,용사가 되고 싶지 않아,785,9.88
1166,스토리,여왕의 계절,"5,054",9.87
1167,스토리,저승길잡이,"1,966",9.90
1168,스토리,Jun과 나,"8,234",9.89
1169,스토리,소라비의 잡화점,"1,544",9.77
1170,스토리,체리 블러드,850,9.48
1171,스토리,클리셰,"4,686",9.86
1172,스토리,S탐정 앙드레,"1,044",9.93
1173,스토리,메모리얼,522,9.73
1174,스토리,테일 오브 빌런,537,9.84
1175,스토리,오 사장님은 상사병,129,9.34
1176,스토리,"헬로,로시!",375,9.74
1177,스토리,케어시트,706,9.70
1178,스토리,올림포스 랩소디,147,9.45
1179,스토리,땅거미들,671,9.69
1180,스토리,모험가 용역 장씨,810,9.82
1181,스토리,꽃이 피는 자리,275,9.57
1182,스토리,프레이,647,9.69
1183,스토리,시크릿 하숙집,370,9.68
1184,스토리,사랑하는 제자들,598,9.66
1185,스토리,개판오분전,"3,919",9.66
1186,스토리,당할연,669,7.97
1187,스토리,너는 나의 2%,234,9.79
1188,스토리,절망 에스프레소,825,9.88
1189,스토리,블랙펄,"2,150",9.73
1190,스토리,두번째 나에게,265,9.70
1191,스토리,계단,225,9.65
1192,스토리,능력안경,"7,883",9.90
1193,스토리,블루랜드,"2,554",9.90
1194,스토리,아타나시아,584,9.69
1195,스토리,곰의 딸,"1,118",9.46
1196,스토리,착한남자 김우진,728,8.32
1197,스토리,황녀의 기사,92,9.80
1198,스토리,질주,295,9.75
1199,스토리,당신의 쓸모,389,9.64
1200,스토리,[BL] HOLY JUNK,"2,186",9.54
1201,스토리,더 리턴,"2,313",9.67
1202,스토리,육식 토끼,"1,285",9.80
1203,스토리,나를 찾아줘,"1,361",8.13
1204,스토리,덩키파티,"1,042",9.59
1205,스토리,서유신마록,559,9.68
1206,스토리,숲의 향연,"1,512",9.73
1207,스토리,"나는 오늘, 퇴사를 하였다.",341,9.81
1208,스토리,폴라로이드,160,9.84
1209,스토리,"지몽, 선 너머의 나","2,194",9.60
1210,스토리,30일의 시간여행,816,9.44
1211,스토리,발푸르기스의 너머,407,9.72
1212,스토리,붉은 이정표,190,9.85
1213,스토리,아라군주,145,9.71
1214,스토리,에고 인 휴고,349,9.77
1215,스토리,디센트,900,9.59
1216,스토리,베텔게우스,621,9.46
1217,스토리,로그 아일,905,9.71
1218,스토리,보충수업,87,9.37
1219,스토리,초시공아기 요핸슨!!,54,9.61
1220,스토리,기억지도,360,9.65
1221,스토리,걸어서 30분,"77,235",9.90
1222,스토리,연애싫어,"27,229",9.85
1223,스토리,원더키퍼,"1,123",9.90
1224,스토리,저주라는이름의축복,"1,566",9.86
1225,스토리,플래닛자이언,434,9.38
1226,스토리,시나브로 너에게,131,9.61
1227,스토리,탑스피드,19,9.51
1228,스토리,미스터리 록앤 시트러스,100,9.37
1229,스토리,어둠의 창 번외편-토아 이야기,"1,254",9.56
1230,스토리,그림그리기 좋은날,"60,558",9.90
1231,스토리,금수저,"15,920",9.85
1232,스토리,옆집에 그녀가 산다,873,9.63
1233,스토리,이루어지리다,137,9.66
1234,스토리,하드오피스,60,9.48
1235,스토리,F I X,562,9.49
1236,스토리,광해와 이순신,"1,093",9.61
1237,스토리,기억 속 너에게,271,9.05
1238,스토리,백온더트랙,207,8.67
1239,스토리,매그니피센트,325,9.79
1240,스토리,홍시는 날 좋아해!,"23,335",9.89
1241,스토리,그림자게임,"5,313",9.86
1242,스토리,내손잡아줄사람,"27,779",9.83
1243,스토리,고양이식당,53,9.90
1244,스토리,백발의 유성,91,9.37
1245,스토리,이상적인 관계,"17,487",9.89
1246,스토리,"달콤쌉쌀,민트","22,080",9.88
1247,스토리,예쁘니까 괜찮아,"7,202",9.86
1248,스토리,너의 뒤에서,330,9.60
1249,스토리,이름을 빌려드립니다,"3,466",9.76
1250,스토리,발자국이 녹기전에,"18,326",9.87
1251,스토리,킥오프,"13,194",9.73
1252,스토리,그대라서,"29,547",9.88
1253,스토리,덴큐,"3,223",9.73
1254,스토리,찔레꽃 그너머,525,9.86
1255,스토리,분홍분홍해,"16,264",9.85
1256,스토리,테이커,"17,562",9.85
1257,스토리,"잘가, 좋은 아침이야","24,387",9.87
1258,스토리,트라우마,"43,506",9.90
1259,스토리,나는 공주다,"12,779",9.61
1260,스토리,보스 인 스쿨,"9,206",9.87
1261,스토리,서울신이전,66,8.93
1262,스토리,슈체나리움 (Szenarium),357,9.13
1263,스토리,옥탑방 갑남을녀,"16,245",9.87
1264,스토리,같이 살아요!,"5,215",9.90
1265,스토리,꽃이 피면 우리는,"21,942",9.87
1266,스토리,인어를 위한 수영교실,"5,728",9.90
1267,스토리,가담가담,"13,546",9.88
1268,스토리,소년의 신성,"8,831",9.85
1269,스토리,부서진 평시,45,9.61
1270,스토리,연놈,"42,150",9.85
1271,스토리,#살인스타그램,"3,499",9.58
1272,스토리,초상화,"9,438",9.86
1273,스토리,빌린 몸,"5,067",9.83
1274,스토리,로어스쿨,"15,378",9.89
1275,스토리,꽃샘바람,37,9.29
1276,스토리,수상한복학생,"6,065",9.85
1277,스토리,음남미녀,"6,777",9.87
1278,스토리,우리 오빠는 아이돌!,"9,589",9.83
1279,스토리,엑스마키나,92,6.85
1280,스토리,마이웨이수호신,24,8.31
1281,스토리,애니멀 팜!,"18,341",9.87
1282,스토리,긁지 않은 복권,"9,555",9.89
1283,스토리,취사병 전설이 되다,"1,660",9.89
1284,스토리,드림캡슐(Dream Capsule),"11,566",9.89
1285,스토리,환생게임,"5,474",9.46
1286,스토리,라라파루자,"8,994",9.80
1287,스토리,연애고자 모하나,"3,582",9.85
1288,스토리,"매일, 제일","14,659",9.90
1289,스토리,고양이 프린스,"8,643",9.79
1290,스토리,백일몽화원,"2,092",9.70
1291,스토리,자살방지위원회,"2,998",9.90
1292,스토리,GO!라니,"11,053",9.88
1293,스토리,귀각시,"17,943",9.85
1294,스토리,슈넨베리아,"16,787",9.88
1295,스토리,리얼 소꿉친구,"4,195",9.86
1296,스토리,다 이아리,"6,560",9.84
1297,스토리,그녀의 거리,"12,347",9.88
1298,스토리,학용품 대전,"3,140",9.75
1299,스토리,날지못하는악마,"14,605",9.89
1300,스토리,잉여특공대,"10,917",9.88
1301,스토리,기안84 회고록,"3,645",9.85
1302,스토리,겨울에 웃는 꽃,"21,175",9.86
1303,스토리,오! 덕후를 위하여,"20,313",9.89
1304,스토리,루나샵에 어서오세요!,"16,448",9.90
1305,스토리,마법약사,"21,940",9.90
1306,스토리,간떨어지는 동거,"6,340",9.86
1307,스토리,오늘도 사랑하세요,"11,314",9.89
1308,스토리,삶이 우리를 속일지라도,"2,431",9.89
1309,스토리,DOLL,"14,693",9.90
1310,스토리,이역,"9,646",9.86
1311,스토리,(Old)악마법소녀,"11,193",9.88
1312,스토리,얼티미터,"4,479",9.89
1313,스토리,복학생 정순이,"7,676",9.89
1314,스토리,Twins Love Story (트윈스 러브 스토리),"14,915",9.86
1315,스토리,어항속 꽃밭,"25,838",9.85
1316,스토리,서폿저택에 어서오세요,"18,878",9.86
1317,스토리,극한고딩,"12,623",9.89
1318,스토리,너를 싫어하는 방법,"8,588",9.89
1319,스토리,단짠남녀,954,9.88
1320,스토리,Save Me,"3,348",9.86
1321,스토리,미래의너에게,"11,691",9.89
1322,스토리,스페셜 게스트,"4,136",9.82
1323,스토리,그대 첫사랑,"6,596",9.87
1324,스토리,"우주에서제일못생긴설정이지만,그래도연애할수있을거같아","3,365",9.85
1325,스토리,일코선생,"3,517",9.88
1326,스토리,루커피쳐,"26,934",9.89
1327,스토리,100%의 연인,"1,558",9.87
1328,스토리,"불편해요, 선배님!","19,419",9.90
1329,스토리,제임스 널 저주해 그리고 사랑해,"1,250",9.66
1330,스토리,일기장,"8,213",9.88
1331,스토리,여자 공수혁,"22,887",9.89
1332,스토리,성형술사,"6,557",9.73
1333,스토리,인어의 연못,"8,370",9.88
1334,스토리,너를 들을 수 있는,"7,551",9.82
1335,스토리,네가 내 천사라고?!,"2,729",9.86
1336,스토리,지금은 37.2도,"10,039",9.75
1337,스토리,무브더크라우드,"3,010",9.79
1338,스토리,하루만 네가 되고 싶어,"9,037",9.89
1339,스토리,버기버그,"3,674",9.86
1340,스토리,현세이의 보이는 라디오,"16,368",9.89
1341,스토리,살인방귀,"4,521",9.68
1342,스토리,하나밖에 안 보여!,"36,206",9.88
1343,스토리,그악나천,"5,021",9.52
1344,스토리,등교하는 근식이,"2,182",9.90
1345,스토리,봄에 꽃 한송이,"4,018",9.89
1346,스토리,겨울과 봄사이,"17,023",9.86
1347,스토리,아싸라비아,"5,774",9.86
1348,스토리,히어로망스,"1,777",9.85
1349,스토리,너나들이,"11,255",9.87
1350,스토리,검의계승자,"3,007",9.87
1351,스토리,사귀자,"5,772",9.87
1352,스토리,위치파이와 미드나잇주스,"19,741",9.84
1353,스토리,마왕이 되는 중2야,"2,850",9.88
1354,스토리,랭커앤랭커,"9,873",9.80
1355,스토리,트위너,"3,503",9.83
1356,스토리,소녀의 마음으로,"2,273",9.85
1357,스토리,이웃집의 스토커군,"2,498",9.59
1358,스토리,사춘기소녀 커플즈,"63,436",9.81
1359,스토리,이별에서 우리는,730,9.86
1360,스토리,지구인입니다,"9,253",9.88
1361,스토리,미로의 정원,"6,324",9.89
1362,스토리,블랙앤서,"2,836",9.74
1363,스토리,오늘은 비,"12,519",9.89
1364,스토리,리틀프린스!,"3,507",9.77
1365,스토리,낭랑 18세,"5,074",9.85
1366,스토리,연애혁명,"6,664",9.86
1367,스토리,하늘에 핀 동백꽃,"11,209",9.88
1368,스토리,하이퍼(HYPER),"1,457",9.46
1369,스토리,돌아와 리즈!,"2,963",9.77
1370,스토리,잊지 말아요,"5,148",9.86
1371,스토리,투명한 동거,"2,558",9.85
1372,스토리,알타고,845,9.75
1373,스토리,[BL] Fools,532,9.35
1374,스토리,미르신화전기,"3,849",9.86
1375,스토리,10월 28일,"2,913",9.88
1376,스토리,합법해적 파르페,"2,589",9.90
1377,스토리,아홉수 우리들,"3,524",9.89
1378,스토리,별의아씨,"4,730",9.59
1379,스토리,초월! 집사소녀!!,"1,758",9.54
1380,스토리,설레긴 개뿔,"8,010",9.85
1381,스토리,달리다굼,"10,274",9.85
1382,스토리,절교여행,589,9.82
1383,스토리,죽은자를 상대하는 방법,"5,407",9.85
1384,스토리,가타부타타,"3,576",9.85
1385,스토리,고냥고냥,"10,886",9.90
1386,스토리,셀리아의 어린 연인,"1,058",9.84
1387,스토리,요괴백정,"2,468",9.85
1388,스토리,달수이야기,"6,620",9.86
1389,스토리,거미의 상자,"8,620",9.90
1390,스토리,그 앨리스에게 판타지란 없다,918,9.89
1391,스토리,검은인간,"1,275",9.89
1392,스토리,구남친톡,505,9.85
1393,스토리,사형제,"11,532",9.88
1394,스토리,언더페인팅,"2,622",9.89
1395,스토리,불러줘 내 이름만,"2,612",9.88
1396,스토리,일어나보니 치킨,"2,955",9.86
1397,스토리,실연소녀,"7,549",9.89
1398,스토리,요리GO,"3,163",9.82
1399,스토리,청춘고딩,"1,956",9.69
1400,스토리,다이어트는 내일부터,"3,178",9.69
1401,스토리,완전범죄,996,9.68
1402,스토리,스타일리쉬 리벤지,"9,586",9.62
1403,스토리,이매무당전,"4,576",9.90
1404,스토리,그 세계의 공주님,"6,378",9.87
1405,스토리,너는 나의 나는 너의 수호천사,"10,300",9.88
1406,스토리,빅보이,"1,822",9.82
1407,스토리,강한사랑,912,9.88
1408,스토리,소환진이 좀 이상해 보이는 건 기분 탓이겠지,"10,702",9.90
1409,스토리,리프로듀싱,"4,639",9.60
1410,스토리,동아리방 202호,"2,689",9.88
1411,스토리,정상이되고싶어,"2,980",9.86
1412,스토리,안녕도깨비,"3,084",9.87
1413,스토리,언원티드,"2,564",9.84
1414,스토리,A의 세계,"14,505",9.40
1415,스토리,시간이 머문 집,"9,162",9.88
1416,스토리,체리블로섬,"8,438",9.89
1417,스토리,짐승뎐,"3,260",9.87
1418,스토리,뱀이 앉은 자리,"1,415",9.72
1419,스토리,의자왕 체어맨,14,9.57
1420,스토리,껌은 고양이 뇌로,"6,504",9.82
1421,스토리,막역지우,"8,307",9.81
1422,스토리,자체공강,"12,820",9.86
1423,스토리,지울 수 있을까?,"5,370",9.89
1424,스토리,전염소녀,"4,642",9.86
1425,스토리,모솔탈출 일대기,"1,392",9.65
1426,스토리,RUN,"1,071",9.79
1427,스토리,가상&RPG,"14,393",9.88
1428,스토리,요조신사 마초숙녀,586,9.75
1429,스토리,털털하지만 괜찮아!,661,9.14
1430,스토리,카인의표적,"2,811",9.85
1431,스토리,하이스쿨 콤플렉스(마이동풍),"13,493",9.63
1432,스토리,나는 사람입니다.,169,9.86
1433,스토리,나의 작은 여우별,"11,186",9.90
1434,스토리,빅맨,280,6.15
1435,스토리,사랑니(confused),"2,631",9.86
1436,스토리,너는 내게,"2,445",9.89
1437,스토리,마지막휴가,"7,056",9.62
1438,스토리,괴신,"3,588",9.85
1439,스토리,범인에 대하여,"3,490",9.87
1440,스토리,차원의 소녀,"7,043",9.89
1441,스토리,무한몽,"6,431",9.78
1442,스토리,떡볶이 가게 아가씨,"1,441",8.66
1443,스토리,외모지상주의,"48,537",9.86
1444,스토리,검은피의 도시,"1,403",9.77
1445,스토리,별을 삼킨 너에게,"3,800",9.66
1446,스토리,푸른사막 아아루,"3,595",9.89
1447,스토리,화이트데이,"2,460",9.30
1448,스토리,아가씨와 우렁총각,"2,605",9.88
1449,스토리,행쇼,975,9.77
1450,스토리,늑대와의 동침,"3,379",9.85
1451,스토리,그냥조금불편할뿐인데,"5,409",9.88
1452,스토리,남자들이 나를 좋아해,425,9.72
1453,스토리,웨일즈,"8,465",9.90
1454,스토리,오늘만 사는 토끼가면,"1,060",9.82
1455,스토리,너를 만나다,"17,745",9.89
1456,스토리,카리스마,"3,640",9.89
1457,스토리,블러드문,"3,268",9.74
1458,스토리,연애 못하는 여자,"4,043",9.82
1459,스토리,매일 참는 남자,"2,132",9.62
1460,스토리,종이비행기를 날리면,"5,480",9.83
1461,스토리,데드위크 [Dead Week],"2,061",9.79
1462,스토리,바(Bar),"2,916",9.87
1463,스토리,나를 깨우러 온,"2,502",9.89
1464,스토리,현악 4중주 - 콰르텟,840,9.56
1465,스토리,티안,"1,656",9.86
1466,스토리,숲속의 성,"16,233",9.88
1467,스토리,나이베디야,"4,562",9.85
1468,스토리,스코칭 로맨스,514,9.85
1469,스토리,나의 스위치 메이트,"14,821",9.89
1470,스토리,이계리턴즈,"2,319",9.85
1471,스토리,식욕 로맨스,"2,063",9.88
1472,스토리,어글리후드,"2,510",9.89
1473,스토리,기프트!,"1,612",9.87
1474,스토리,에르나크,934,9.85
1475,스토리,파블(fable),"6,834",9.85
1476,스토리,개구리공주,697,9.87
1477,스토리,"용사갑,마왕을","1,676",9.88
1478,스토리,바퀴!,659,9.52
1479,스토리,내 첫 사랑에 대한 기억,"1,695",9.87
1480,스토리,가출천사 육성계약,"3,669",9.89
1481,스토리,나는 부활 마법을 가졌다,"5,727",9.86
1482,스토리,나와 악수하는 시간,"1,883",9.83
1483,스토리,캔버스,"2,864",9.84
1484,스토리,좋은날,"2,374",9.83
1485,스토리,고민상담특별부,"2,891",9.86
1486,스토리,발렌타인데이,"1,983",9.69
1487,스토리,던전의 주인님,"2,905",9.88
1488,스토리,시리우스,"1,521",9.85
1489,스토리,옥탑빵,"6,006",9.90
1490,스토리,사여자,"3,834",9.83
1491,스토리,몬스터 커맨더F,"9,025",9.86
1492,스토리,라인리스 :: Lineless,"4,382",9.85
1493,스토리,별▶주부전,"5,218",9.87
1494,스토리,더 익스트림,"1,200",9.33
1495,스토리,빌런즈,"3,287",9.89
1496,스토리,슬픔을 먹는 남자,"8,739",9.89
1497,스토리,달콤포근 베이커리,474,9.79
1498,스토리,산들바람,"1,985",9.83
1499,스토리,살인마들,839,9.89
1500,스토리,곤충전,"1,763",9.86
1501,스토리,갓도령스,620,9.88
1502,스토리,연습생 고영신,"3,509",9.85
1503,스토리,유치원 신드롬,595,9.59
1504,스토리,한 지붕 아래,"1,702",9.89
1505,스토리,지금은 여관주인!!,"2,809",9.90
1506,스토리,후크,"2,642",9.87
1507,스토리,화귀,"2,495",9.85
1508,스토리,눈을감다,"1,819",9.66
1509,스토리,DJ 카일하우스,"9,158",9.84
1510,스토리,랜드라이프,"9,242",9.89
1511,스토리,클릭금지,836,9.74
1512,스토리,비행소년,"6,103",9.89
1513,스토리,개남,"2,246",9.89
1514,스토리,적막소녀,"1,995",9.86
1515,스토리,정령왕즈,"9,045",9.88
1516,스토리,윈터하츠,"6,375",9.89
1517,스토리,격이 다른 남자,"1,219",9.86
1518,스토리,리부트,523,9.75
1519,스토리,어둠이 내게 오면,"4,692",9.86
1520,스토리,저주인형,"1,591",9.89
1521,스토리,매구인게 어때서?!,"3,161",9.84
1522,스토리,오늘은 꼭 고백할 거야!,"2,819",9.88
1523,스토리,"Please kiss me, Princess","7,831",9.89
1524,스토리,탑코너,372,8.74
1525,스토리,엔드와 세이브,"1,809",9.61
1526,스토리,엘레노이 아타락시아,"6,737",9.87
1527,스토리,신의 탑,"1,110",9.73
1528,스토리,악취,930,9.76
1529,스토리,옆집에 신이산다,"1,740",9.72
1530,스토리,오십과 오십의 세계,"6,573",9.86
1531,스토리,호구와 싸가지,"6,212",9.89
1532,스토리,붉게 물들 홍,"2,669",9.89
1533,스토리,가족같은회사,"1,827",9.86
1534,스토리,남의 사랑 이야기,"7,966",9.80
1535,스토리,엑스텐,"2,244",9.85
1536,스토리,스타의 학교생활,"3,017",9.76
1537,스토리,"4월,벚꽃 우리들","4,855",9.89
1538,스토리,더블랙LABEL,"4,005",9.90
1539,스토리,신 별주부전,"1,057",9.90
1540,스토리,^-^ (캐럿하이픈캐럿),"3,400",9.46
1541,스토리,저주와 별가루,"4,329",9.74
1542,스토리,쓰레기 성의 소녀,"8,695",9.89
1543,스토리,미친악마,301,9.84
1544,스토리,스펙터즈,"3,342",9.89
1545,스토리,행복을 입혀 드립니다,"3,101",9.89
1546,스토리,아더의왕국,522,9.88
1547,스토리,당신을 사랑하고 싶습니다.,636,9.74
1548,스토리,인더하우스,"4,329",9.84
1549,스토리,백설:잔혹동화,"5,183",9.85
1550,스토리,야수와 줄리엣,294,9.88
1551,스토리,유포리아,"1,967",9.74
1552,스토리,협주곡,"2,635",9.88
1553,스토리,하나린 하나린,"4,046",9.88
1554,스토리,사이클,"2,538",9.88
1555,스토리,정귀괴담록,"1,036",9.86
1556,스토리,죽은 자들의 도시에서,"1,295",9.72
1557,스토리,9등급 뒤집기,"1,966",8.58
1558,스토리,이클립스,"4,176",9.86
1559,스토리,판타지 여동생!,507,9.46
1560,스토리,데일리 위치,"1,533",9.85
1561,스토리,로보택틱스,"1,172",9.78
1562,스토리,이세계 용사랑 마왕 뭐 그런거 알잖아?,"1,178",9.88
1563,스토리,2015 범죄스릴러 에스,"1,187",9.66
1564,스토리,아머나이트,"1,379",9.78
1565,스토리,그리고 아무 일도 없었다.,"7,179",9.82
1566,스토리,풍월주,"2,541",9.83
1567,스토리,마음을 훔치는 여자,"1,129",9.71
1568,스토리,좋은 꿈 꾸세요,"1,988",9.89
1569,스토리,바닷속의 춘향,"4,838",9.78
1570,스토리,마녀가 잠든 사이에,792,9.86
1571,스토리,지나치게 달콤한,"4,036",9.85
1572,스토리,차가움에게 은총을,768,9.83
1573,스토리,불멸의 드래곤,354,9.43
1574,스토리,검은소,"1,218",9.83
1575,스토리,망상되감기,"2,235",9.89
1576,스토리,무한의 팔라무트,"2,563",9.80
1577,스토리,내가 황제를 만났을때,"1,104",9.66
1578,스토리,하필 너야?!,"2,025",9.76
1579,스토리,찬란하게 드리우다,"2,866",9.87
1580,스토리,고양이가 할퀴고 간 자리,"2,221",9.82
1581,스토리,루턴 -past story-,"2,611",9.84
1582,스토리,나라면 절대 안그래,"1,739",9.50
1583,스토리,LIVE 썸&쌈,"5,440",9.42
1584,스토리,사나울,730,9.85
1585,스토리,"안녕, 앨리스","11,033",9.83
1586,스토리,반짝반짝 왕자님,"2,261",9.89
1587,스토리,시큼새큼,276,9.84
1588,스토리,막순이,"1,537",9.85
1589,스토리,양지리정신병원,"1,902",9.19
1590,스토리,교환일기,326,9.63
1591,스토리,사소한 일로 계약,"1,015",9.55
1592,스토리,수호령,"1,325",9.88
1593,스토리,퇴마부,"1,521",9.82
1594,스토리,흑묘,"4,920",9.72
1595,스토리,내 남친은 이세계를 구한 용사님!?,454,9.86
1596,스토리,데스티니,"2,446",9.81
1597,스토리,하이스쿨 히어로즈,"1,106",9.77
1598,스토리,어나더,"1,290",9.86
1599,스토리,빨간 고백,"6,828",9.74
1600,스토리,좋아하는부분,989,9.87
1601,스토리,자각몽,"3,412",9.89
1602,스토리,내가 안했어요,"8,429",9.83
1603,스토리,반짝반짝 빛나는,"4,815",9.89
1604,스토리,상현당,"2,891",9.63
1605,스토리,내 룸메이트는 마네킹,"5,100",9.80
1606,스토리,머리카락을 뽑으면,700,9.81
1607,스토리,천상대전,"2,897",9.87
1608,스토리,카니발라이즈,"1,961",9.85
1609,스토리,바리이야기,"2,836",9.88
1610,스토리,그를 좋아한다,"2,536",9.65
1611,스토리,아빠 내일은 뭐하고 놀까?,913,9.78
1612,스토리,중고 팔레트,"2,170",9.84
1613,스토리,연애천재,"3,308",9.86
1614,스토리,잃어버린 시간을 드립니다,"1,994",9.86
1615,스토리,킬링타임,749,9.83
1616,스토리,건마왕증,"4,062",9.72
1617,스토리,식인귀,"1,919",9.63
1618,스토리,선수들,892,9.66
1619,스토리,결혼은 싫어,"2,928",9.73
1620,스토리,끝난게 아니다 (청춘은 야구&사랑),"1,236",9.64
1621,스토리,미즈라 태양의 성,"3,490",9.89
1622,스토리,블루믹 (BlueMIC),"11,149",9.88
1623,스토리,연애를 못하는 남자,350,9.85
1624,스토리,룽과크리스,"3,776",9.87
1625,스토리,애플 에이지,"3,152",9.87
1626,스토리,달을 그리는 숲,815,9.75
1627,스토리,듀이,"1,080",9.85
1628,스토리,로맨스를 찾아줘,"4,214",9.78
1629,스토리,뷰티어스 인,"1,280",7.46
1630,스토리,나만 아는 사랑,307,9.85
1631,스토리,맛있는 남자,"9,857",9.88
1632,스토리,참새는 새신부!,332,9.80
1633,스토리,쓰리스쿨즈,"2,085",9.90
1634,스토리,병,"1,080",9.78
1635,스토리,보급형 콤플렉스,772,9.86
1636,스토리,1+1,"1,950",9.86
1637,스토리,달란트,"2,112",9.88
1638,스토리,나주금입니다(너에게만 보이는),571,9.87
1639,스토리,신의 마녀,"7,188",9.87
1640,스토리,드라코런 :: Dracorun,975,9.80
1641,스토리,양치기 소년,"1,023",9.78
1642,스토리,코르보(Corvo),742,9.86
1643,스토리,남주만 9명?!,"2,049",9.67
1644,스토리,19세기 비망록,"1,592",9.79
1645,스토리,끝과 시작,"1,497",9.89
1646,스토리,1시간 30분,"5,728",9.89
1647,스토리,네가 머무는 자리,"1,799",9.83
1648,스토리,스페로 스페라,"5,337",9.88
1649,스토리,두번째의 왕자님,"4,150",9.88
1650,스토리,사신기,832,9.80
1651,스토리,앨리스를 위하여,"2,732",9.87
1652,스토리,마계의 황녀,"7,258",9.87
1653,스토리,림딩동,"5,092",9.73
1654,스토리,백수세끼,721,9.44
1655,스토리,우리들의 트로이메라이,"2,672",9.88
1656,스토리,지켜라!여의주!,"3,682",9.71
1657,스토리,아이엠 헝그리,"1,578",9.79
1658,스토리,천상열차분야지도,"2,882",9.87
1659,스토리,우리집에 곰이 이사왔다,"2,635",9.89
1660,스토리,마녀 어머니와 좀비 아들,950,9.85
1661,스토리,신선님과 함께,"4,011",9.87
1662,스토리,CARNIVAL,106,9.52
1663,스토리,사물놀이 -부서진 악기-,"4,664",9.89
1664,스토리,용사를 물리쳐라!,"2,058",9.90
1665,스토리,시간과 사연,"7,238",9.79
1666,스토리,겨울밤,"5,361",9.85
1667,스토리,마음의 온도,"11,178",9.85
1668,스토리,지오코소 가난뱅이,"2,134",9.89
1669,스토리,너와 나의 90일,"1,716",9.85
1670,스토리,대디보이,"1,029",9.73
1671,스토리,목소리의 그늘,"6,680",9.90
1672,스토리,"안녕, 나의 길고양이","5,148",9.89
1673,스토리,에스키스,"1,372",9.85
1674,스토리,유사소년소녀,216,9.88
1675,스토리,풋내기들,"4,819",9.54
1676,스토리,미모(美母)를 찾아서,"1,732",9.88
1677,스토리,STONE AGE,"4,859",9.89
1678,스토리,731바이러스,"1,731",9.74
1679,스토리,수상한 가족협정,"1,734",9.89
1680,스토리,티레시아스,"4,128",9.85
1681,스토리,디드롭스 (D.drops),"1,793",9.88
1682,스토리,달맞이꽃,"3,712",9.82
1683,스토리,용사님이시다,"3,731",9.85
1684,스토리,뱀파이어 수난시대,492,9.76
1685,스토리,크리스마스는 쨈과 함께,"1,237",9.86
1686,스토리,큐레이터,"2,070",9.72
1687,스토리,아무도 믿지마,"4,500",9.82
1688,스토리,크리비 (Crea.B),"3,904",9.77
1689,스토리,내 매력에 퐁당,"3,481",9.57
1690,스토리,도시소녀 귀농기,"2,814",9.81
1691,스토리,연고남,"1,172",9.67
1692,스토리,왕과 그림자와 여자,"2,263",9.76
1693,스토리,중간계 사우나,"8,063",9.82
1694,스토리,에스프레소 케이크,593,9.86
1695,스토리,열렙전사,379,9.71
1696,스토리,마킹!!,804,9.25
1697,스토리,정글짐 위에 올라,"2,820",9.89
1698,스토리,금빛아이는 새벽을 달린다,"6,582",9.89
1699,스토리,플레이어,424,9.56
1700,스토리,살문 (殺門),"2,054",9.69
1701,스토리,허니버니,435,9.86
1702,스토리,신과의 대화,"5,175",9.77
1703,스토리,윈터우즈,"2,505",9.86
1704,스토리,나라 구한 전생,"3,638",9.89
1705,스토리,너에게까지 시속 100km,"11,677",9.85
1706,스토리,오버사이즈러브,"2,828",9.73
1707,스토리,체크포인트,469,9.60
1708,스토리,오늘의 컨셉,"1,494",9.52
1709,스토리,심박수1280,789,9.72
1710,스토리,어린공주,"1,114",9.89
1711,스토리,상냥한 녀석들,841,9.55
1712,스토리,소피아가 머리카락을 쓸어넘길 때,"5,619",9.89
1713,스토리,나고야,"1,943",9.54
1714,스토리,디 언더사이즈드(THE UNDERSIZED),"1,568",9.53
1715,스토리,개천사,882,9.89
1716,스토리,마녀는 그렇게 죽었다,"1,154",9.84
1717,스토리,그의 박물관엔 수상한 미라가 있다.,873,9.89
1718,스토리,유만즈,828,9.85
1719,스토리,전지적귀신시점,"1,039",9.88
1720,스토리,나의 별에게,"9,319",9.89
1721,스토리,슬립워커,573,9.84
1722,스토리,렝드,885,9.85
1723,스토리,마왕이 상병신,"3,738",9.87
1724,스토리,드리머,374,9.41
1725,스토리,칼로리메트리,784,9.75
1726,스토리,아수라게이트,"2,714",9.47
1727,스토리,신의 프시키온,"1,088",9.84
1728,스토리,별님 아래 귤님,"3,299",9.69
1729,스토리,방과후 베이스볼 클럽,"3,637",9.69
1730,스토리,여자들의 뒷담화,"6,469",9.87
1731,스토리,나루아씨전,"1,178",9.86
1732,스토리,오늘과 내일의 경계,"1,963",9.89
1733,스토리,귀여움이 죄라면 너는 사형!,"1,620",9.88
1734,스토리,12HOUR monster,"1,071",9.80
1735,스토리,마왕이 되는 방법,"2,815",9.83
1736,스토리,데몬데몬,"2,324",9.85
1737,스토리,성장통 소나타,"2,652",9.89
1738,스토리,방과후에,459,9.82
1739,스토리,신의 계약서,"2,147",9.63
1740,스토리,페이퍼,435,9.80
1741,스토리,인더섀도우,"2,494",9.89
1742,스토리,친해져요 금봉씨,"1,325",9.83
1743,스토리,특이점 2045,"1,008",9.88
1744,스토리,살인교사,826,9.48
