,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö
377,»ç¶ûÀÇ Çå¿Ê¼ö°ÅÇÔ                ,01,1,2020.04.25,56003,9.61,(Âü¿© 452),330
378,»ç¶ûÀÇ Çå¿Ê¼ö°ÅÇÔ                ,02,2,2020.05.02,34394,9.55,(Âü¿© 377),290
379,»ç¶ûÀÇ Çå¿Ê¼ö°ÅÇÔ                ,03,3,2020.05.09,27419,9.58,(Âü¿© 325),262
380,»ç¶ûÀÇ Çå¿Ê¼ö°ÅÇÔ                ,04,4,2020.05.16,24490,9.70,(Âü¿© 349),237
381,»ç¶ûÀÇ Çå¿Ê¼ö°ÅÇÔ                ,05,5,2020.05.23,23965,9.60,(Âü¿© 270),228
382,ºÒ¸´ 6¹Ì¸®                ,.,1,2018.07.31,64399,9.44,(Âü¿© 394),149
383,ºÒ¸´ 6¹Ì¸®                ,.,2,2018.08.10,39632,9.48,(Âü¿© 271),104
384,ºÒ¸´ 6¹Ì¸®                ,.,3,2018.08.24,33947,9.54,(Âü¿© 197),101
385,ºÒ¸´ 6¹Ì¸®                ,.,4,2018.09.07,32384,9.72,(Âü¿© 191),97
386,ºÒ¸´ 6¹Ì¸®                ,.,5,2018.09.21,30340,9.73,(Âü¿© 169),89
387,À£Ä¯ Åõ ½Ç¹ö¶óÀÌÇÁ                ,ÇÁ·Ñ·Î±×,1,2019.05.15,63759,9.89,(Âü¿© 1174),632
388,À£Ä¯ Åõ ½Ç¹ö¶óÀÌÇÁ                ,Àý´ë ¾ÆÄ§,2,2019.05.22,58292,9.86,(Âü¿© 922),516
389,À£Ä¯ Åõ ½Ç¹ö¶óÀÌÇÁ                ,¼ÒÈ®Çà!,3,2019.05.29,47463,9.88,(Âü¿© 1006),528
390,À£Ä¯ Åõ ½Ç¹ö¶óÀÌÇÁ                ,¸Ô¹æµû¶ó »ïÃµ¸®,4,2019.06.05,42144,9.90,(Âü¿© 910),445
391,À£Ä¯ Åõ ½Ç¹ö¶óÀÌÇÁ                ,Ä£ÇÏ°Ô Áö³»¿ä,5,2019.06.12,37336,9.88,(Âü¿© 881),452
392,³ªÅ¸³ªÁÖ¼¼¿ä!                ,1È­,1,2020.05.01,50750,9.09,(Âü¿© 238),248
393,³ªÅ¸³ªÁÖ¼¼¿ä!                ,2È­,2,2020.05.01,26388,9.03,(Âü¿© 200),188
394,³ªÅ¸³ªÁÖ¼¼¿ä!                ,3È­,3,2020.05.08,20180,9.12,(Âü¿© 209),178
395,³ªÅ¸³ªÁÖ¼¼¿ä!                ,4È­,4,2020.05.15,17491,9.18,(Âü¿© 200),168
396,³ªÅ¸³ªÁÖ¼¼¿ä!                ,5È­,5,2020.05.22,16825,8.99,(Âü¿© 191),154
397,¼Ò³àÀÇ ¼¼°è                ,1È­. ÀÔÇÐ½Ä,1,2014.05.06,97353,9.78,(Âü¿© 2780),"1,982"
398,¼Ò³àÀÇ ¼¼°è                ,2È­ ¹éÁ¶¿Í ¿À¸®,2,2014.05.13,55415,9.82,(Âü¿© 2528),"1,430"
399,¼Ò³àÀÇ ¼¼°è                ,3È­. ±×·± ½½ÇÂ ´«À¸·Î ³ª¸¦ º¸Áö ¸»¾Æ¿ä.,3,2014.05.20,29552,9.84,(Âü¿© 2341),"1,294"
400,¼Ò³àÀÇ ¼¼°è                ,4È­.±×·± ½½ÇÂ ´«À¸·Î ³ª¸¦ º¸Áö ¸»¾Æ¿ä.(ÇÏ),4,2014.06.03,17863,9.87,(Âü¿© 3300),"2,483"
401,¼Ò³àÀÇ ¼¼°è                ,5. È­ÀÌÆ® µ¥ÀÌ °ÅºÏÀÌ»çÅÁ(»ó),5,2014.06.25,14203,9.86,(Âü¿© 2511),"1,341"
402,È«Â÷ ¸®ºê·¹                ,ÇÁ·Ñ·Î±×,1,2017.10.26,36954,9.86,(Âü¿© 548),122
403,È«Â÷ ¸®ºê·¹                ,¸Ó¹«¸£´Ù,2,2017.11.05,30064,9.88,(Âü¿© 460),92
404,È«Â÷ ¸®ºê·¹                ,Çàº¹Àº ¾îµð ÀÖ³ª¿ä?,3,2017.11.14,26256,9.89,(Âü¿© 417),82
405,È«Â÷ ¸®ºê·¹                ,Á¤½Ä¿¬Àç°øÁö,4,2017.11.16,31316,9.93,(Âü¿© 583),97
406,È«Â÷ ¸®ºê·¹                ,¢½¿¬Àç°øÁö¢½,5,2017.12.31,18774,9.91,(Âü¿© 196),51
407,¼Ò³à ¿¬´ë±â                ,1È­,1,2017.08.18,46020,9.59,(Âü¿© 340),112
408,¼Ò³à ¿¬´ë±â                ,2È­,2,2017.08.22,36965,9.54,(Âü¿© 298),103
409,¼Ò³à ¿¬´ë±â                ,3È­,3,2017.08.28,35382,9.66,(Âü¿© 264),94
410,¼Ò³à ¿¬´ë±â                ,4È­,4,2017.09.04,30975,9.67,(Âü¿© 247),88
411,¼Ò³à ¿¬´ë±â                ,5È­,5,2017.09.11,30713,9.57,(Âü¿© 235),82
412,ÃÊÀÎÀÇ½Ã´ë                ,ÇÁ·Ñ·Î±×,1,2018.10.19,54729,9.40,(Âü¿© 205),104
413,ÃÊÀÎÀÇ½Ã´ë                ,1È­,2,2018.10.26,53746,9.55,(Âü¿© 159),78
414,ÃÊÀÎÀÇ½Ã´ë                ,2È­,3,2018.11.02,39853,9.57,(Âü¿© 132),54
415,ÃÊÀÎÀÇ½Ã´ë                ,3È­,4,2018.11.08,27763,9.47,(Âü¿© 137),43
416,ÃÊÀÎÀÇ½Ã´ë                ,4È­,5,2018.11.16,22460,9.54,(Âü¿© 119),38
417,ÇÇÇÃ                ,1È­ º¸Æ®ÇÇÇÃ,1,2016.11.29,84054,9.59,(Âü¿© 215),112
418,ÇÇÇÃ                ,2È­ º¸Æ®ÇÇÇÃ,2,2016.12.02,55223,9.72,(Âü¿© 167),86
419,ÇÇÇÃ                ,3È­ º¸Æ®ÇÇÇÃ,3,2016.12.06,43830,9.91,(Âü¿© 195),89
420,ÇÇÇÃ                ,4È­ º¸Æ®ÇÇÇÃ,4,2016.12.09,36072,9.74,(Âü¿© 207),76
421,ÇÇÇÃ                ,5È¸ º¸Æ®ÇÇÇÃ,5,2016.12.13,32807,9.73,(Âü¿© 133),48
422,±×³àÀÇ ¹öÅ¶¸®½ºÆ®                ,1È­,1,2018.10.04,67912,9.81,(Âü¿© 345),161
423,±×³àÀÇ ¹öÅ¶¸®½ºÆ®                ,2È­,2,2018.10.18,46760,9.86,(Âü¿© 293),118
424,±×³àÀÇ ¹öÅ¶¸®½ºÆ®                ,3È­,3,2018.11.01,45082,9.89,(Âü¿© 247),102
425,±×³àÀÇ ¹öÅ¶¸®½ºÆ®                ,°øÁöÀÔ´Ï´Ù!,4,2018.11.15,30332,9.87,(Âü¿© 142),58
426,±×³àÀÇ ¹öÅ¶¸®½ºÆ®                ,4È­,5,2018.11.29,30464,9.87,(Âü¿© 179),81
427,³¯·Î ¸Ô´Â ¿¬¾Ö                ,Á¤½Ä¿¬Àç°øÁö,1,2015.01.01,25861,9.80,(Âü¿© 509),295
428,³¯·Î ¸Ô´Â ¿¬¾Ö                ,¿¬Àç ½ÃÀÛ,2,2015.06.09,28862,9.50,(Âü¿© 199),141
429,°øº¹ÀÇ Àú³á½Ä»ç                ,"¹é¼³, »ç°úÆÄÀÌ",1,2014.08.08,65447,9.82,(Âü¿© 2043),811
430,°øº¹ÀÇ Àú³á½Ä»ç                ,¯ƒÈù¯MÅ²,2,2014.08.15,35142,9.84,(Âü¿© 1961),650
431,°øº¹ÀÇ Àú³á½Ä»ç                ,03 - µÈÀåÂî°³,3,2014.08.22,17411,9.84,(Âü¿© 1895),568
432,°øº¹ÀÇ Àú³á½Ä»ç                ,04- µÈÀåÂî°³¿¡ ¶ó¸é»ç¸®,4,2014.08.29,12515,9.89,(Âü¿© 2056),701
433,°øº¹ÀÇ Àú³á½Ä»ç                ,Å©¸²½ºÆÄ°ÔÆ¼ feat.¸¶´Ã»§,5,2014.09.05,11856,9.90,(Âü¿© 2204),771
434,¿©ÅÁº¸°í¼­                ,1.°í¿ÂÅÁ,1,2014.07.03,64566,9.83,(Âü¿© 4325),"1,959"
435,¿©ÅÁº¸°í¼­                ,2. ¶§¼ö°Ç ¾Æµ¿ÇÐ´ë,2,2014.07.10,36944,9.84,(Âü¿© 3742),"1,314"
436,¿©ÅÁº¸°í¼­                ,3. ¿©ÅÁ ÆÐ¼ÇÇÇÇÃ,3,2014.07.18,19123,9.84,(Âü¿© 3863),"1,269"
437,¿©ÅÁº¸°í¼­                ,4. ¿©ÅÁ¾ÈÀÇ ³²ÀÚ¾î¸°ÀÌ,4,2014.07.25,14183,9.83,(Âü¿© 3766),"1,199"
438,¿©ÅÁº¸°í¼­                ,5. ³ÃÅÁÆøÆ÷¼ö,5,2014.08.01,8303,9.87,(Âü¿© 4050),"1,437"
439,¹üÀÌ¿Ã½Ã´Ù!                ,°øÁö,1,2019.12.20,30640,9.80,(Âü¿© 311),201
440,¹üÀÌ¿Ã½Ã´Ù!                ,°øÁö2,2,2020.02.25,22603,9.77,(Âü¿© 236),190
441,¹üÀÌ¿Ã½Ã´Ù!                ,°øÁö3,3,2020.05.02,21439,9.85,(Âü¿© 370),266
442,¹æ¹é³²³à                ,°øÁö,1,2017.08.17,22435,9.15,(Âü¿© 111),24
443,¹æ¹é³²³à                ,¿¬Àç °øÁö.,2,2018.01.12,26600,9.55,(Âü¿© 101),37
444,·Îº£½ºÀÇ ¿ÏÀü°¨°¢                ,-,1,2017.10.12,46401,9.82,(Âü¿© 266),93
445,·Îº£½ºÀÇ ¿ÏÀü°¨°¢                ,-,2,2017.10.12,21811,9.86,(Âü¿© 234),75
446,·Îº£½ºÀÇ ¿ÏÀü°¨°¢                ,-,3,2017.10.19,16993,9.88,(Âü¿© 222),80
447,·Îº£½ºÀÇ ¿ÏÀü°¨°¢                ,-,4,2017.10.26,15714,9.87,(Âü¿© 214),74
448,·Îº£½ºÀÇ ¿ÏÀü°¨°¢                ,-,5,2017.11.02,15699,9.91,(Âü¿© 219),67
449,Áßµ¶¿¬±¸¼Ò                ,-,1,2019.01.01,61395,9.78,(Âü¿© 361),193
450,Áßµ¶¿¬±¸¼Ò                ,-,2,2019.02.01,51131,9.76,(Âü¿© 344),170
451,Áßµ¶¿¬±¸¼Ò                ,-,3,2019.02.11,34371,9.71,(Âü¿© 227),125
452,Áßµ¶¿¬±¸¼Ò                ,-,4,2019.02.21,27372,9.76,(Âü¿© 221),126
453,Áßµ¶¿¬±¸¼Ò                ,-,5,2019.03.01,23213,9.63,(Âü¿© 193),106
454,¿À!ÁÖ¿¹¼ö¿©                ,1È­,1,2014.11.15,58012,9.82,(Âü¿© 4911),"1,708"
455,¿À!ÁÖ¿¹¼ö¿©                ,2È­,2,2014.11.22,24027,9.85,(Âü¿© 4309),"1,302"
456,¿À!ÁÖ¿¹¼ö¿©                ,3È­,3,2014.11.29,14232,9.86,(Âü¿© 4113),"1,270"
457,¿À!ÁÖ¿¹¼ö¿©                ,4È­,4,2014.12.06,16156,9.88,(Âü¿© 4534),"1,454"
458,¿À!ÁÖ¿¹¼ö¿©                ,5È­,5,2014.12.16,20765,9.87,(Âü¿© 4225),"1,361"
459,203È£ Àú½Â»çÀÚ                ,1.Áö°©Àº µÞÁÖ¸Ó´Ï¿¡,1,2013.02.18,72686,9.81,(Âü¿© 1201),429
460,203È£ Àú½Â»çÀÚ                ,2.¿©ÀÚÀÇ Á÷°¨,2,2013.02.27,44931,9.84,(Âü¿© 1015),364
461,203È£ Àú½Â»çÀÚ                ,3.ÀÚ¿¬ÀÇ ¼·¸®,3,2014.02.22,29543,9.87,(Âü¿© 966),311
462,203È£ Àú½Â»çÀÚ                ,4.Áß¿äÇÑ Ãß¾ï,4,2014.03.01,25342,9.85,(Âü¿© 977),303
463,203È£ Àú½Â»çÀÚ                ,5.»µ²Ù±â µÕÁö À§·Î ³¯¾Æ°£,5,2014.03.08,23171,9.89,(Âü¿© 1019),285
464,ÇïÆÛ                ,1.,1,2011.01.20,151392,9.57,(Âü¿© 2144),264
465,ÇïÆÛ                ,2.,2,2011.01.27,111023,9.56,(Âü¿© 2185),136
466,ÇïÆÛ                ,3.,3,2011.02.03,77750,9.63,(Âü¿© 2067),55
467,ÇïÆÛ                ,4.,4,2011.02.10,35566,9.70,(Âü¿© 2117),27
468,ÇïÆÛ                ,5.,5,2011.02.17,20594,9.68,(Âü¿© 2217),16
469,Èå¸£´Â ¹Ù´åºÒÃ³·³                ,1È­,1,2019.11.11,53705,9.55,(Âü¿© 405),374
470,Èå¸£´Â ¹Ù´åºÒÃ³·³                ,2È­,2,2019.11.18,34977,9.65,(Âü¿© 320),293
471,Èå¸£´Â ¹Ù´åºÒÃ³·³                ,3È­,3,2019.11.25,26695,9.64,(Âü¿© 303),291
472,Èå¸£´Â ¹Ù´åºÒÃ³·³                ,4È­,4,2019.12.02,23660,9.71,(Âü¿© 256),255
473,Èå¸£´Â ¹Ù´åºÒÃ³·³                ,ÀÏÁ¤ º¯°æ °øÁö,5,2019.12.05,20647,9.62,(Âü¿© 220),216
474,´ëÀÛ                ,1È­,1,2015.10.05,40311,9.87,(Âü¿© 242),77
475,´ëÀÛ                ,2È­,2,2015.10.11,26126,9.86,(Âü¿© 202),56
476,´ëÀÛ                ,3È­,3,2015.10.18,23821,9.85,(Âü¿© 213),68
477,´ëÀÛ                ,4È­,4,2015.10.26,21564,9.78,(Âü¿© 189),55
478,´ëÀÛ                ,5È­,5,2015.11.02,23979,9.82,(Âü¿© 248),79
479,µ¿³×º¯È£»ç Á¶µéÈ£                ,¾Ë¸³´Ï´Ù.,1,2013.03.05,22441,9.36,(Âü¿© 307),37
480,¾ð¸ÞÀÌÅ©                ,01,1,2018.12.05,72663,9.56,(Âü¿© 889),355
481,¾ð¸ÞÀÌÅ©                ,02,2,2018.12.11,52610,9.10,(Âü¿© 399),127
482,¾ð¸ÞÀÌÅ©                ,03,3,2018.12.25,16009,8.39,(Âü¿© 231),72
483,¾ð¸ÞÀÌÅ©                ,04,4,2019.01.03,13033,8.98,(Âü¿© 167),46
484,¾ð¸ÞÀÌÅ©                ,05,5,2019.01.14,12753,8.92,(Âü¿© 167),47
485,ÇÁ¸®µå·Î¿ì                ,°øÁö,1,2011.12.28,44061,9.68,(Âü¿© 4916),115
486,ÇÁ¸®µå·Î¿ì                ,-,2,2013.06.28,36676,9.80,(Âü¿© 7614),200
487,ÇÁ¸®µå·Î¿ì                ,-,3,2013.07.05,18179,9.86,(Âü¿© 10215),76
488,ÇÁ¸®µå·Î¿ì                ,-,4,2013.07.12,12465,9.88,(Âü¿© 11421),42
489,ÇÁ¸®µå·Î¿ì                ,-,5,2013.07.19,9476,9.88,(Âü¿© 12483),34
490,¸¶½ºÅ©°É                ,1È­,1,2015.03.03,56806,9.77,(Âü¿© 627),217
491,¸¶½ºÅ©°É                ,2È­,2,2015.03.09,36821,9.86,(Âü¿© 592),194
492,¸¶½ºÅ©°É                ,3È­ ¼ºÇü¹ÌÀÎ,3,2015.03.16,24947,9.88,(Âü¿© 700),209
493,¸¶½ºÅ©°É                ,4È­ ¾ßÀ¯È¸,4,2015.03.23,9845,9.86,(Âü¿© 594),177
494,¸¶½ºÅ©°É                ,5È­ Áñ°Å¿î È¸½Ä,5,2015.03.30,6391,9.89,(Âü¿© 533),145
495,Á¡ÇÎ¿À¹ö                ,1È­,1,2017.04.12,35395,9.69,(Âü¿© 169),61
496,Á¡ÇÎ¿À¹ö                ,2È­,2,2017.04.25,26137,9.71,(Âü¿© 154),59
497,Á¡ÇÎ¿À¹ö                ,º£µµ°¨»ç°øÁö,3,2017.04.30,15964,9.65,(Âü¿© 110),33
498,Á¡ÇÎ¿À¹ö                ,3È­,4,2017.05.11,19254,9.73,(Âü¿© 143),47
499,Á¡ÇÎ¿À¹ö                ,- °øÁö -,5,2017.05.31,10393,9.82,(Âü¿© 51),16
500,µé¾î´Â º¸¾Ò³ª! ÁúÇ³±âÈ¹!                ,°øÁö,1,2010.11.05,20846,9.73,(Âü¿© 532),69
501,È£°î                ,0È­ - ÇÁ·Ñ·Î±×,1,2017.10.15,42842,8.67,(Âü¿© 126),35
502,È£°î                ,1È­ - ¸¸³²,2,2017.10.22,38524,8.28,(Âü¿© 120),26
503,È£°î                ,2È­ - ÀÌ»óÇÑ ¼Ò³à,3,2017.10.29,18429,8.10,(Âü¿© 88),22
504,È£°î                ,3È­ - ÀÌ¹ø¿£ ¿ì¸®´Ù,4,2017.11.05,12728,8.57,(Âü¿© 88),19
505,È£°î                ,4È­ - Áü½Â,5,2017.11.12,12595,8.54,(Âü¿© 90),18
506,°«!±èÄ¡                ,1,1,2018.12.16,40939,8.32,(Âü¿© 142),51
507,°«!±èÄ¡                ,2,2,2018.12.26,26943,8.35,(Âü¿© 105),34
508,°«!±èÄ¡                ,3,3,2019.01.04,20001,8.52,(Âü¿© 93),20
509,°«!±èÄ¡                ,4,4,2019.01.16,16340,7.98,(Âü¿© 81),17
510,°«!±èÄ¡                ,5,5,2019.01.26,14271,8.29,(Âü¿© 80),17
511,µµÈ­                ,Á¤½Ä¿¬Àç °øÁöÀÔ´Ï´Ù.,1,2020.03.31,19916,9.51,(Âü¿© 184),195
512,Âù¶õÇÏÁö ¾Ê¾Æµµ ±¦Âú¾Æ                ,°øÁö- Á¤½Ä ¿¬Àç ÁØºñ Áß,1,2017.06.09,21018,9.85,(Âü¿© 112),39
513,Âù¶õÇÏÁö ¾Ê¾Æµµ ±¦Âú¾Æ                ,°øÁö- Á¤½Ä ¿¬Àç ÀÓ¹Ú,2,2017.06.26,18126,9.76,(Âü¿© 152),37
514,¹ÙÀÌ·¯½º X                ,1È­. ¹ÙÀÌ·¯½º¿¡ °É¸®´Ù(1),1,2020.06.28,35650,8.89,(Âü¿© 194),161
515,¹ÙÀÌ·¯½º X                ,2È­. ¹ÙÀÌ·¯½º¿¡ °É¸®´Ù(2),2,2020.07.08,19936,9.45,(Âü¿© 150),133
516,¹ÙÀÌ·¯½º X                ,3È­. ¹ÙÀÌ·¯½º¿¡ °É¸®´Ù(3),3,2020.07.14,17431,9.43,(Âü¿© 142),128
517,¹ÙÀÌ·¯½º X                ,4È­. °¢¼ºÇÏ´Ù(1),4,2020.07.23,17484,9.52,(Âü¿© 151),137
518,¹ÙÀÌ·¯½º X                ,º£µµ °¨»ç °øÁö,5,2020.07.31,15585,9.57,(Âü¿© 134),118
519,³» ¾î¸°°í¾çÀÌ¿Í ´ÄÀº°³                ,¾È³çÇÏ´Â ÀÌ¾ß±â,1,2011.03.22,19171,9.76,(Âü¿© 1934),116
520,²¿¸®                ,ÇùÀÇÁß °øÁö,1,2017.10.13,17964,9.62,(Âü¿© 96),19
521,²¿¸®                ,Á¤½Ä¿¬Àç °øÁö,2,2018.02.20,19605,9.68,(Âü¿© 114),22
522,Æ®·£½ºÈÞ¸Õ                ,1È­,1,2019.12.30,33926,9.74,(Âü¿© 313),248
523,Æ®·£½ºÈÞ¸Õ                ,2È­,2,2020.01.06,23240,9.82,(Âü¿© 250),221
524,Æ®·£½ºÈÞ¸Õ                ,3È­,3,2020.01.13,19702,9.77,(Âü¿© 238),190
525,Æ®·£½ºÈÞ¸Õ                ,4È­,4,2020.01.20,19143,9.74,(Âü¿© 223),195
526,Æ®·£½ºÈÞ¸Õ                ,¼³ Æ¯º°Æí,5,2020.01.27,16679,9.61,(Âü¿© 194),174
527,¾ÇÀÎ                ,2È­,1,2020.06.11,32685,9.71,(Âü¿© 234),147
528,¾ÇÀÎ                ,3È­,2,2020.06.25,25506,9.75,(Âü¿© 200),145
529,¾ÇÀÎ                ,4È­,3,2020.07.09,21233,9.80,(Âü¿© 186),117
530,¾ÇÀÎ                ,5È­,4,2020.07.23,19098,9.79,(Âü¿© 179),121
531,¾ÇÀÎ                ,6È­,5,2020.08.06,18260,9.79,(Âü¿© 215),143
532,ÅÔ¹çºÎ »ç°ÇÀÏÁö                ,ÇÁ·Ñ·Î±×,1,2019.07.10,22097,9.82,(Âü¿© 306),200
533,ÅÔ¹çºÎ »ç°ÇÀÏÁö                ,1È­ <¿å¸ÁÀÇ ÀüÇÐ»ý>,2,2019.07.12,20719,9.93,(Âü¿© 283),165
534,ÅÔ¹çºÎ »ç°ÇÀÏÁö                ,2È­ <ÅÔ¹çºÎÀÇ Ã¹ ÀÛ¹°>,3,2019.07.16,16286,9.91,(Âü¿© 295),148
535,ÅÔ¹çºÎ »ç°ÇÀÏÁö                ,3È­ <¼±»ý´ÔµéÀº ¿ÀÀÌ ±×·²±î-1>,4,2019.07.23,12359,9.83,(Âü¿© 217),133
536,ÅÔ¹çºÎ »ç°ÇÀÏÁö                ,4È­ <¼±»ý´ÔµéÀº ¿ÀÀÌ ±×·²±î-2>,5,2019.07.30,13381,9.88,(Âü¿© 213),125
537,²Ü¹ú°ú ¾ÆÄ«½Ã¾Æ                ,1È­,1,2018.06.02,32348,9.74,(Âü¿© 145),57
538,²Ü¹ú°ú ¾ÆÄ«½Ã¾Æ                ,2È­,2,2018.06.12,19861,9.66,(Âü¿© 137),46
539,²Ü¹ú°ú ¾ÆÄ«½Ã¾Æ                ,3È­,3,2018.06.22,15440,9.71,(Âü¿© 123),41
540,²Ü¹ú°ú ¾ÆÄ«½Ã¾Æ                ,4È­,4,2018.07.13,15301,9.84,(Âü¿© 112),41
541,²Ü¹ú°ú ¾ÆÄ«½Ã¾Æ                ,5È­,5,2018.07.31,17351,9.81,(Âü¿© 143),45
542,ºäÆ¼Ç® ±º¹Ù¸®                ,¿¹°íÆí,1,2014.05.14,49998,9.61,(Âü¿© 4989),"2,189"
543,ºäÆ¼Ç® ±º¹Ù¸®                ,1È­,2,2014.05.20,46316,9.64,(Âü¿© 5817),"1,969"
544,ºäÆ¼Ç® ±º¹Ù¸®                ,2È­,3,2014.05.27,28503,9.62,(Âü¿© 4571),"1,650"
545,ºäÆ¼Ç® ±º¹Ù¸®                ,3È­,4,2014.06.04,16997,9.62,(Âü¿© 4875),"1,898"
546,ºäÆ¼Ç® ±º¹Ù¸®                ,4È­,5,2014.06.11,8331,9.75,(Âü¿© 4613),"1,659"
547,³ª´Â ±Í¸Ó°Å¸®´Ù                ,00,1,2012.08.17,141697,9.86,(Âü¿© 3024),"1,309"
548,³ª´Â ±Í¸Ó°Å¸®´Ù                ,01,2,2014.02.18,90617,9.87,(Âü¿© 3182),"1,127"
549,³ª´Â ±Í¸Ó°Å¸®´Ù                ,02,3,2014.02.27,47353,9.88,(Âü¿© 3729),"1,484"
550,³ª´Â ±Í¸Ó°Å¸®´Ù                ,03,4,2014.03.05,18753,9.87,(Âü¿© 3277),"1,051"
551,³ª´Â ±Í¸Ó°Å¸®´Ù                ,04,5,2014.03.12,8269,9.90,(Âü¿© 3821),"1,334"
552,À©µåºê·¹ÀÌÄ¿                ,00È­ [ÇÁ·Ñ·Î±×],1,2012.12.20,60822,9.72,(Âü¿© 2899),155
553,À©µåºê·¹ÀÌÄ¿                ,01È­,2,2012.12.27,73192,9.72,(Âü¿© 3034),187
554,À©µåºê·¹ÀÌÄ¿                ,02È­,3,2013.01.03,48005,9.73,(Âü¿© 2783),56
555,À©µåºê·¹ÀÌÄ¿                ,03È­,4,2013.01.10,28368,9.76,(Âü¿© 2722),53
556,À©µåºê·¹ÀÌÄ¿                ,04È­,5,2013.01.17,21810,9.81,(Âü¿© 2915),40
557,ÀÌ·± ¿µ¿õÀº ½È¾î                ,ÇÁ·Ñ·Î±×,1,2010.10.29,90722,9.68,(Âü¿© 4056),390
558,ÀÌ·± ¿µ¿õÀº ½È¾î                ,1.Ã¹ µ¿·á,2,2010.11.06,60194,9.65,(Âü¿© 3642),176
559,ÀÌ·± ¿µ¿õÀº ½È¾î                ,2.°³ ÀÎ°£,3,2010.11.23,32516,9.63,(Âü¿© 3387),95
560,ÀÌ·± ¿µ¿õÀº ½È¾î                ,3.½È´Ù¸é ¾îÂ¿°Çµ¥? ÀÌ·²°Ì´Ï´Ù,4,2010.12.04,15676,9.66,(Âü¿© 3618),73
561,ÀÌ·± ¿µ¿õÀº ½È¾î                ,4. ²À º¸¿©ÁÖ±â ½ÈÀº Àå¸éÀ» µéÅ°Áö,5,2010.12.11,10397,9.66,(Âü¿© 3337),73
562,<Áö±Ý¿ì¸®ÇÐ±³´Â>                ,Á¦1È­ <¿©´À¶§Ã³·³..>,1,2008.10.29,103176,9.58,(Âü¿© 848),185
563,<Áö±Ý¿ì¸®ÇÐ±³´Â>                ,Á¦2È­ <1±³½Ã.. ±×¸®°í ¼Ò¹®>,2,2008.10.29,61950,9.64,(Âü¿© 511),127
564,<Áö±Ý¿ì¸®ÇÐ±³´Â>                ,Á¦3È­ <2±³½ÃÀÇ ¹æ¹®ÀÚ>,3,2008.10.29,30903,9.71,(Âü¿© 426),32
565,<Áö±Ý¿ì¸®ÇÐ±³´Â>                ,Á¦4È­ <±×³àÀÇ »ç°Ç>,4,2008.10.30,18275,9.62,(Âü¿© 413),20
566,<Áö±Ý¿ì¸®ÇÐ±³´Â>                ,Á¦5È­ <±×³àÀÇ »óÈ²´ëÃ³¹ý>,5,2008.10.30,12730,9.57,(Âü¿© 424),15
567,È£¶ûÀÌÇü´Ô                ,1È­ »ê±º(ß£ÏÖ). »êÀÇ ¿Õ,1,2014.07.16,78790,9.85,(Âü¿© 2227),822
568,È£¶ûÀÌÇü´Ô                ,2È­  Ã¢±ÍÈ£(ûÛ)ÀÇ ½À°Ý,2,2014.07.23,44273,9.86,(Âü¿© 1615),503
569,È£¶ûÀÌÇü´Ô                ,3È­ ¹ü»óÄ¡¾ÊÀº ¼Ò³â,3,2014.07.30,26050,9.84,(Âü¿© 1173),336
570,È£¶ûÀÌÇü´Ô                ,4È­ ¹«Ä¿ÀÇ ºÐ³ë(1ºÎ),4,2014.08.06,14750,9.85,(Âü¿© 979),272
571,È£¶ûÀÌÇü´Ô                ,4È­ ¹«Ä¿ÀÇ ºÐ³ë(2ºÎ),5,2014.08.06,8875,9.86,(Âü¿© 1124),294
572,¹°·¹                ,ÇÁ·Ñ·Î±×,1,2019.05.05,28558,9.53,(Âü¿© 248),110
573,¹°·¹                ,1È­,2,2019.05.12,24259,9.66,(Âü¿© 190),81
574,¹°·¹                ,2È­,3,2019.05.19,16414,9.54,(Âü¿© 155),70
575,¹°·¹                ,3È­,4,2019.05.27,15454,8.52,(Âü¿© 149),60
576,¹°·¹                ,4È­,5,2019.06.02,12932,9.61,(Âü¿© 117),52
577,Çï58                ,°øÁöµå¸³´Ï´Ù.,1,2018.09.02,14418,9.45,(Âü¿© 65),11
578,Çï58                ,°øÁöµå¸³´Ï´Ù.,2,2018.09.07,10477,8.94,(Âü¿© 34),3
579,Çï58                ,°øÁöµå¸³´Ï´Ù.,3,2018.10.22,10241,9.69,(Âü¿© 55),14
580,Çï58                ,Á¤½Ä¿¬Àç°øÁö,4,2018.11.14,18831,9.69,(Âü¿© 87),13
581,ÈÄ´ú´ú´ú ³²±ØÀüÀÚ                ,#1,1,2018.11.22,22465,9.78,(Âü¿© 166),68
582,ÈÄ´ú´ú´ú ³²±ØÀüÀÚ                ,#2,2,2018.11.29,17478,9.78,(Âü¿© 129),50
583,ÈÄ´ú´ú´ú ³²±ØÀüÀÚ                ,#3,3,2018.12.06,15842,9.76,(Âü¿© 119),49
584,ÈÄ´ú´ú´ú ³²±ØÀüÀÚ                ,#4,4,2018.12.13,14584,9.93,(Âü¿© 128),50
